30/11; 320dpi; 720x1411; samsung; SM-A307GT; a30s; exynos7904
33/13; 450dpi; 1080x2209; samsung; SM-A145R; a14m; mt6768
28/9; 480dpi; 1080x2076; samsung; SM-G950F; dreamlte; samsungexynos8895
31/12; 400dpi; 1080x2175; motorola; moto g52; rhode; qcom
28/9; 480dpi; 1080x2034; asus; ASUS_X017DA; ASUS_X017D_2; qcom
33/13; 450dpi; 1080x2209; samsung; SM-A146M; a14x; s5e8535
29/10; 320dpi; 720x1449; Xiaomi/Redmi; M2006C3LG; dandelion; mt6762
29/10; 360dpi; 720x1280; samsung; SM-J400M; j4lte; samsungexynos7570
30/11; 320dpi; 720x1459; samsung; SM-A032M; a3core; m168
29/10; 280dpi; 720x1424; motorola; moto e(6i); fijisc; fijisc
33/13; 480dpi; 1080x2165; samsung; SM-A715F; a71; qcom
33/13; 450dpi; 1080x2224; samsung; SM-S916B; dm2q; qcom
33/13; 440dpi; 1080x2176; Xiaomi/Redmi; 23021RAAEG; tapas; qcom
33/13; 400dpi; 1080x2180; motorola; moto g82 5G; rhodep; qcom
33/13; 320dpi; 720x1507; Xiaomi/Redmi; 220333QAG; fog; qcom
33/13; 420dpi; 1080x2186; samsung; SM-A526B; a52xq; qcom
31/12; 306dpi; 720x1440; motorola; moto g22; hawaiip; mt6765
33/13; 440dpi; 1080x2177; Xiaomi/Redmi; 2201116TG; viva; mt6781
33/13; 360dpi; 720x1447; samsung; SM-A035M; a03; ums9230_25c10
30/11; 332dpi; 720x1457; motorola; moto g(9) play; guamp; qcom
29/10; 480dpi; 1080x2107; HUAWEI; MAR-LX1A; HWMAR; kirin710
30/11; 440dpi; 1080x2177; Xiaomi/Redmi; 2201117TY; spesn; qcom
33/13; 420dpi; 1080x2183; samsung; SM-A715F; a71; qcom
33/13; 440dpi; 1080x2176; Xiaomi/POCO; 23049PCD8G; marble; qcom
31/12; 440dpi; 1080x2180; Xiaomi/Redmi; 2201116SI; peux; qcom
31/12; 440dpi; 1080x2177; Xiaomi/Redmi; M2101K7BL; maltose; mt6785
29/10; 408dpi; 1080x2049; HUAWEI; HMA-L29; HWHMA; kirin980
33/13; 440dpi; 1080x2138; Google/google; Pixel 4a; sunfish; sunfish
30/11; 480dpi; 1080x2132; realme; RMX1993; RMX1993L1; qcom
33/13; 450dpi; 1080x2173; samsung; SM-M625F; m62; exynos9825
30/11; 440dpi; 1080x2167; Xiaomi/Redmi; 21061119DG; eos; mt6768
33/13; 450dpi; 1080x2106; samsung; SM-S918B; dm3q; qcom
