iPhone12,1; iOS 17_0_3; {}; {}; scale=2.00; 828x1792
iPhone14,5; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone12,3; iOS 17_0; {}; {}; scale=3.00; 1125x2436
iPhone11,2; iOS 16_3; {}; {}; scale=3.00; 1125x2436
iPhone12,1; iOS 16_3_1; {}; {}; scale=2.00; 750x1624
iPhone15,3; iOS 16_6; {}; {}; scale=3.00; 1290x2796
iPhone15,3; iOS 16_6; {}; {}; scale=3.00; 1290x2796
iPhone15,2; iOS 16_6_1; {}; {}; scale=3.00; 1179x2556
iPhone14,3; iOS 17_0_3; {}; {}; scale=3.00; 1284x2778
iPhone14,5; iOS 16_1_1; {}; {}; scale=3.00; 1170x2532
iPhone12,8; iOS 16_1_1; {}; {}; scale=2.00; 640x1136
iPhone14,7; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone11,8; iOS 16_1_1; {}; {}; scale=2.00; 828x1792
iPhone15,2; iOS 16_6_1; {}; {}; scale=3.00; 1179x2556
iPhone14,7; iOS 17_0_3; {}; {}; scale=3.00; 1170x2532
iPhone12,1; iOS 16_6_1; {}; {}; scale=2.00; 828x1792
iPhone12,3; iOS 16_1; {}; {}; scale=3.00; 1125x2436
iPhone13,4; iOS 17_0; {}; {}; scale=3.00; 1284x2778
iPhone12,1; iOS 16_3_1; {}; {}; scale=2.00; 828x1792
iPhone13,4; iOS 16_1_2; {}; {}; scale=3.00; 1284x2778
iPhone15,3; iOS 16_6_1; {}; {}; scale=3.00; 1290x2796
iPhone12,1; iOS 16_1_2; {}; {}; scale=2.00; 828x1792
iPhone13,4; iOS 17_0_3; {}; {}; scale=3.00; 1125x2436
iPhone9,1; iOS 15_7_9; {}; {}; scale=2.00; 750x1334
iPhone12,1; iOS 17_0_3; {}; {}; scale=2.00; 828x1792
iPhone12,8; iOS 16_6_1; {}; {}; scale=2.00; 750x1334
iPhone13,1; iOS 16_1_1; {}; {}; scale=3.00; 1125x2436
iPhone12,5; iOS 16_0; {}; {}; scale=3.00; 1242x2688
iPhone12,1; iOS 16_6; {}; {}; scale=2.00; 828x1792
iPhone12,1; iOS 16_5_1; {}; {}; scale=2.00; 828x1792
iPhone13,3; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone10,5; iOS 16_7_1; {}; {}; scale=3.00; 1242x2208
iPhone11,8; iOS 16_3_1; {}; {}; scale=2.00; 828x1792
iPhone12,1; iOS 16_6; {}; {}; scale=2.00; 828x1792
iPhone12,1; iOS 16_6_1; {}; {}; scale=2.00; 828x1792
iPhone15,3; iOS 16_6; {}; {}; scale=3.00; 1290x2796
iPhone13,4; iOS 16_6_1; {}; {}; scale=3.00; 1284x2778
iPhone12,3; iOS 16_6_1; {}; {}; scale=3.00; 1125x2436
iPhone13,2; iOS 17_0_3; {}; {}; scale=3.00; 1170x2532
iPhone9,3; iOS 15_7_7; {}; {}; scale=2.00; 640x1136
iPhone12,1; iOS 16_5_1; {}; {}; scale=2.00; 828x1792
iPhone9,4; iOS 15_7_9; {}; {}; scale=3.00; 1242x2208
iPhone12,1; iOS 16_2; {}; {}; scale=2.00; 828x1792
iPhone14,5; iOS 16_1_2; {}; {}; scale=3.00; 1170x2532
iPhone14,5; iOS 16_7_1; {}; {}; scale=3.00; 1170x2532
iPhone9,4; iOS 15_7_9; {}; {}; scale=3.00; 1242x2208
iPhone12,1; iOS 16_6_1; {}; {}; scale=2.00; 750x1624
iPhone13,4; iOS 16_6_1; {}; {}; scale=3.00; 1284x2778
iPhone14,3; iOS 17_0_1; {}; {}; scale=3.00; 1284x2778
iPhone13,1; iOS 16_3_1; {}; {}; scale=3.00; 1125x2436
iPhone10,5; iOS 16_7_1; {}; {}; scale=3.00; 1242x2208
iPhone13,3; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone14,2; iOS 16_7; {}; {}; scale=3.00; 1170x2532
iPhone12,1; iOS 17_0_3; {}; {}; scale=2.00; 828x1792
iPhone9,4; iOS 15_7_9; {}; {}; scale=2.61; 1080x1920
iPhone13,3; iOS 16_5_1; {}; {}; scale=3.00; 1170x2532
iPhone12,1; iOS 16_6_1; {}; {}; scale=2.00; 828x1792
iPhone10,2; iOS 16_7_1; {}; {}; scale=3.00; 1242x2208
iPhone13,2; iOS 16_6_1; {}; {}; scale=3.00; 1170x2532
iPhone11,8; iOS 16_1_1; {}; {}; scale=2.00; 828x1792
iPhone12,1; iOS 16_6_1; {}; {}; scale=2.00; 828x1792
iPhone10,6; iOS 16_7_1; {}; {}; scale=3.00; 1125x2436
iPhone12,5; iOS 16_6_1; {}; {}; scale=3.00; 1242x2688
iPhone12,1; iOS 16_1_1; {}; {}; scale=2.00; 828x1792
iPhone12,1; iOS 16_6_1; {}; {}; scale=2.00; 828x1792
iPhone9,3; iOS 15_7_9; {}; {}; scale=2.00; 750x1334
iPhone14,5; iOS 16_3_1; {}; {}; scale=3.00; 1170x2532
iPhone13,2; iOS 16_0; {}; {}; scale=3.00; 1170x2532
